 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
PTSB   123.354  302.287     .546E-03   81.90  106.14   24.24    .80    .53   1.656  1.927   .160E-03   .153E-02   3.86   2.33  Meq31para_result.txt
DPDB    84.503  283.677     .548E-03   62.31  101.01   38.70   1.43   1.52   1.248   .673   .455E-04   .293E-02   3.25   2.60  Meq31para_result.txt
ENLB    14.477  291.888     .429E-02   73.92  100.52   26.60   1.54   1.57   1.802  1.911   .514E-03   .134E-01   3.66   2.03  Meq31para_result.txt
FULB    85.403  211.811     .163E-02   62.69  105.38   42.69   2.05   4.30   1.314  2.275   .823E-04   .828E-02   3.53   2.69  Meq31para_result.txt
NACB    38.026  338.159     .101E-02   55.12   91.62   36.51   2.81   8.90   1.327  2.496   .157E-04   .401E-02   3.17   2.39  Meq31para_result.txt
TWGB   132.865  210.339     .672E-03   65.21  116.84   51.63   1.35   1.48   1.173  1.994   .914E-04   .325E-02   3.54   3.02  Meq31para_result.txt
TDCB    73.257  307.097     .120E-02   69.15   76.38    7.23   1.73   3.74   2.999  2.813   .184E-03   .120E-02   3.31   1.10  Meq31para_result.txt
TPUB   128.303  241.642     .192E-03   83.34   97.32   13.98    .93    .02   1.678  1.365   .481E-04   .422E-03   3.14   1.87  Meq31para_result.txt
SSLB    79.780  264.783     .539E-03   60.84   88.76   27.92   2.22   6.68   1.314   .656   .473E-04   .107E-02   3.02   2.30  Meq31para_result.txt
CHGB    61.328  291.852     .226E-02   58.43   98.32   39.89   2.31   5.38   1.462  3.103   .750E-04   .103E-01   3.72   2.55  Meq31para_result.txt
HGSD    51.118  218.266     .202E-01   57.44  101.80   44.37   1.55   2.27   1.722  3.237   .572E-03   .174E+00   4.48   2.60  Meq31para_result.txt
YULB    67.877  221.117     .807E-03   57.97   91.98   34.01   2.52  10.04   1.314   .011   .184E-04   .327E-02   3.19   2.43  Meq31para_result.txt
